,SMILES
87,Cc1cc(/C=C/c2ccc(F)c(Br)c2)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F
88,COc1cccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])c1
89,COc1cccc(Oc2ccccc2/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])c1
90,CCCCCC(O)c1cn(-c2ccc3n2[B-](F)(F)[N+]2=C(NCc4cc(F)cc(F)c4)C=CC2=C3c2ccc(N)cc2)nn1
91,CC(C)Cc1cn(-c2ccc3n2[B-](F)(F)[N+]2=C(N4CCCC4)C=CC2=C3c2ccc(N)cc2)nn1
92,Cc1cc(/C=C/c2ccc(-c3cccc(Cl)c3)o2)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F
93,Cc1cc(/C=C/c2ccc(/C=C/c3ccccc3)cc2)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
94,COc1ccc(OC)c(CNC2=[N+]3C(=C(c4ccc(N)cc4)c4ccc(-n5cc(C6CCCC6)nn5)n4[B-]3(F)F)C=C2)c1
95,COc1cc2ccccc2c(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])c1OC
96,Cc1cc(/C=C/c2cc(C(C)(C)C)ccc2O)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
97,CN(Cc1ccccc1)C1=[N+]2C(=C(c3ccc(N)cc3)c3ccc(-n4cc(N(C)Cc5ccccc5)nn4)n3[B-]2(F)F)C=C1
98,COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])cc(Br)c1OC
99,Cc1cc(/C=C/c2ccc(-c3ccccc3)s2)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
100,Cc1cc(/C=C/c2ccccc2OCc2ccccc2)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
101,CN(Cc1ccccc1)C1=[N+]2C(=C(c3ccc(N)cc3)c3ccc(-n4cc(CO)nn4)n3[B-]2(F)F)C=C1
102,Cc1ccccc1NC1=[N+]2C(=C(c3ccc(N)cc3)c3ccc(-n4cc(CCc5ccccc5)nn4)n3[B-]2(F)F)C=C1
103,Nc1ccc(C2=C3C=CC(N4CCc5ccccc5C4)=[N+]3[B-](F)(F)n3c2ccc3-n2cc(CCc3ccccc3)nn2)cc1
104,Cc1cc(/C=C/c2ccc(OCc3ccccc3)cc2)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F
105,CCCCCC(O)c1cn(-c2ccc3n2[B-](F)(F)[N+]2=C(Nc4ccccc4C)C=CC2=C3c2ccc(N)cc2)nn1
106,Cc1cc(/C=C/c2cc(C(C)(C)C)ccc2O)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F
107,C=CCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])cc1
108,CCCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])cc1
109,CCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CCNC(=O)CCl)cc1OC
110,CN(Cc1ccccc1)C1=[N+]2C(=C(c3ccc(N)cc3)c3ccc(-n4cc(C5CC5)nn4)n3[B-]2(F)F)C=C1
111,Cc1ccccc1NC1=[N+]2C(=C(c3ccc(N)cc3)c3ccc(-n4cc(CC(C)C)nn4)n3[B-]2(F)F)C=C1
112,CC(C)Cc1cn(-c2ccc3n2[B-](F)(F)[N+]2=C(N(C)Cc4ccccc4)C=CC2=C3c2ccc(N)cc2)nn1
113,CN(Cc1ccccc1)c1cn(-c2ccc3n2[B-](F)(F)[N+]2=C(N4CCCC4)C=CC2=C3c2ccc(N)cc2)nn1
